name,ressort_name,year,Eingang_Erstanträge,Eingang_Klagen,Informationszugang_gewährt,Informationszugang_teilweise_gewährt,Informationszugang_abgelehnt,sonstige_Erledigung,Gebühr_erhoben,Eingang_Widersprüche
BMUB,BMUKN,2016-01-01,44,0,27,2,2,10,0,0
BMBF,BMFTR,2016-01-01,64,0,25,4,5,27,0,0
BMBF,BMFTR,2016-01-01,1,0,0,1,0,0,0,0
BKM,BKM,2016-01-01,37,0,22,0,3,16,5,1
BKM,BKM,2016-01-01,15,0,2,1,3,6,2,0
BMZ,BMZ,2016-01-01,39,1,13,4,4,18,4,1
BPA,BPA,2016-01-01,72,0,44,1,0,27,1,0
BPrA,BPrA,2016-01-01,36,0,11,4,18,3,0,3
BT,BT,2016-01-01,526,7,80,31,284,323,0,26
BR,BR,2016-01-01,7,0,3,0,2,1,0,0
BBank,BBank,2016-01-01,41,0,39,0,6,1,1,1
BVerfG,BVerfG,2016-01-01,3,0,3,1,2,0,0,0
BfDI,BfDI,2016-01-01,123,0,30,2,13,256,0,3
BRH,BRH,2016-01-01,7,0,4,0,0,3,0,0
BK,BK,2017-01-01,276,9,18,20,19,210,20,13
BK,BK,2017-01-01,2,0,0,0,2,0,0,0
BMAS,BMAS,2017-01-01,124,1,32,10,6,79,2,0
BMAS,BMAS,2017-01-01,1188,6,1079,29,46,46,22,26
AA,AA,2017-01-01,341,0,98,25,23,137,48,9
AA,AA,2017-01-01,0,0,0,0,0,0,0,0
BMI,BMI,2017-01-01,580,2,113,16,29,433,12,8
BMI,BMI,2017-01-01,329,2,141,31,67,71,11,13
BMJV,BMJ,2017-01-01,418,3,36,20,6,352,4,11
BMJV,BMJ,2017-01-01,90,1,43,18,10,22,12,4
BMF,BMF,2017-01-01,383,0,39,22,40,261,4,3
BMF,BMF,2017-01-01,3591,5,2750,30,86,540,771,26
BMWi,BMWE,2017-01-01,244,3,60,10,19,134,11,4
BMWi,BMWE,2017-01-01,694,9,381,97,88,115,40,11
BMEL,BMLEH,2017-01-01,86,1,20,6,15,13,1,4
BMEL,BMLEH,2017-01-01,62,0,34,20,1,6,25,9
BMVg,BMVg,2017-01-01,117,3,54,12,19,33,1,6
BMVg,BMVg,2017-01-01,34,0,20,4,8,3,4,1
BMFSFJ,BMBFSFJ,2017-01-01,92,0,36,8,15,29,4,2
BMFSFJ,BMBFSFJ,2017-01-01,22,1,15,2,3,0,3,1
BMG,BMG,2017-01-01,167,0,28,11,3,127,5,3
BMG,BMG,2017-01-01,148,4,60,11,2,50,14,5
BMVI,BMV,2017-01-01,180,1,12,11,6,153,2,5
BMVI,BMV,2017-01-01,1147,4,178,755,80,121,10,814
BMUB,BMUKN,2017-01-01,90,0,47,1,4,40,0,1
BMUB,BMUKN,2017-01-01,42,0,25,6,3,6,0,1
BMBF,BMFTR,2017-01-01,52,0,31,4,3,32,1,0
